Question,Options,Answer,Explanation
"1. The right of a government body to take ownership of real estate for public use is called:","a. escheat.\nb. eminent domain.\nc. condemnation.\nd. police power.","b. eminent domain.","Eminent domain is the RIGHT; condemnation is the PROCESS."
"2. One who has ownership rights of real estate that could continue forever is a:","a. fee simple interest.\nb. life estate.\nc. determinable fee.\nd. condition subsequent.","a. fee simple interest.","Fee simple is the highest interest in real estate recognized by law."
"3. A woman conveys ownership of a lot to a hospital 'so long as it is used for hospital purposes.' This is a:","a. fee simple absolute estate.\nb. license.\nc. fee simple determinable.\nd. leasehold estate.","c. fee simple determinable.","'So long as' indicates a special limitation that creates a determinable fee."
"4. Your neighbors use your driveway to reach their garage. Your property is the:","a. leasehold interest.\nb. dominant tenement.\nc. servient tenement.\nd. license property.","c. servient tenement.","The property that is burdened by the easement is the servient tenement."
"5. A license is an example of a(n):","a. easement appurtenant.\nb. encroachment.\nc. personal privilege.\nd. restriction.","c. personal privilege.","A license is a personal privilege to enter land for a specific purpose."
"6. An easement appurtenant:","a. terminates with the sale.\nb. is a right-of-way for a utility.\nc. is revocable.\nd. runs with the land.","d. runs with the land.","Appurtenant easements transfer with the title."
"7. A property on Main Street that was formerly a retail store is being used as a residential home. This is:","a. nonconforming use.\nb. variance.\nc. eminent domain.\nd. inverse condemnation.","a. nonconforming use.","A use that existed before a zoning change is 'grandfathered' in."
"8. Which of the following is NOT a government power?","a. Taxation\nb. Police Power\nc. Escheat\nd. Foreclosure","d. Foreclosure","The four powers are PETE: Police Power, Eminent Domain, Taxation, Escheat."
"9. An owner of a life estate is called:","a. a remainderman.\nb. a life tenant.\nc. a reversioner.\nd. a devisor.","b. a life tenant.","The life tenant holds the interest for the duration of a lifetime."
"10. A person who has a future interest in a life estate is the:","a. life tenant.\nb. servient tenement.\nc. remainderman.\nd. grantor.","c. remainderman.","The remainderman is the one who receives the estate when the life tenant dies."
"11. A homestead is a legal life estate in real estate that is:","a. used as a vacation home.\nb. occupied as the family home.\nc. used for business purposes.\nd. leased to a tenant.","b. occupied as the family home.","Homestead laws protect the family home from certain creditors."
"12. An individual who has an easement in gross:","a. owns the dominant tenement.\nb. owns the servient tenement.\nc. has a personal right to use the land of another.\nd. must be a neighbor.","c. has a personal right to use the land of another.","Easements in gross (like utility lines) do not have a dominant tenement."
"13. Which of the following is a lien on real estate?","a. An easement\nb. A recorded mortgage\nc. An encroachment\nd. A restrictive covenant.","b. A recorded mortgage.","A lien is a financial charge; the others are physical or usage encumbrances."
"14. A person who dies without a will and has no heirs:","a. has their property go to the federal government.\nb. has their property pass to the state via escheat.\nc. has the property sold at a tax sale.\nd. remains the owner.","b. has their property pass to the state via escheat.","Escheat prevents property from being 'ownerless'."
"15. An encroachment is:","a. a legal way to take land.\nb. a financial lien.\nc. a physical intrusion of a structure onto another's land.\nd. a type of easement.","c. a physical intrusion of a structure onto another's land.","Example: A fence built 2 feet over the property line."
"16. Which of the following is a 'qualified fee' estate?","a. Fee simple absolute\nb. Fee simple determinable\nc. Life estate\nd. Estate for years","b. Fee simple determinable.","Qualified fees have a 'condition' or 'limitation' attached."
"17. For as long as the state can prove it is for 'public good,' it can take land via:","a. Police power\nb. Eminent domain\nc. Taxation\nd. Escheat","b. Eminent domain.","This requires just compensation to the owner."
"18. A life estate 'pur autre vie' is based on:","a. the life of the tenant.\nb. the life of a third party.\nc. a fixed term of 99 years.\nd. the life of the grantor.","b. the life of a third party.","'Pur autre vie' means 'for the life of another'."
"19. Which of the following is NOT an encumbrance?","a. Lien\nb. Easement\nc. License\nd. Severalty","d. Severalty.","Severalty is a form of ownership, not a burden on the land."
"20. Covenants, conditions, and restrictions (CC&Rs) are:","a. government powers.\nb. private agreements that affect land use.\nc. state laws.\nd. always illegal.","b. private agreements that affect land use.","Commonly found in subdivision regulations."
"Accretion","","Increase in land by soil deposit.","Natural increase of land."
"Adverse Possession","","Involuntary transfer of title via open/notorious use.","Squatter's rights."
"Appurtenant Easement","","Easement that stays with the land.","Benefits the dominant tenement."
"Condemnation","","The legal process of taking land via eminent domain.","Requires just compensation."
"Condition Subsequent","","A fee estate that can be terminated if a condition is violated.","Requires legal action to retake."
"Curtesy","","A husband's life estate in his deceased wife's property.","Legal life estate."
"Dominant Tenement","","The property that benefits from an easement.","The neighbor using the driveway."
"Dower","","A wife's life estate in her deceased husband's property.","Legal life estate."
"Easement","","The right to use the land of another for a specific purpose.","A nonpossessory interest."
"Easement by Necessity","","Easement created when a property is landlocked.","Courts will grant this for access."
"Easement by Prescription","","Easement acquired by continuous, open, and hostile use.","Usually requires 10-21 years depending on state."
"Easement in Gross","","A personal right to use land, not tied to a property.","Example: Utility or railroad lines."
"Eminent Domain","","Right of government to take land for public use.","One of the four PETE powers."
"Encroachment","","Physical intrusion onto another's property.","Example: Roof overhang or fence."
"Encumbrance","","A claim/charge/liability that attaches to real estate.","Decreases value but doesn't necessarily prevent transfer."
"Escheat","","Reversion of property to the state.","Happens when owner dies with no will/heirs."
"Estate in Land","","Degree, quantity, nature, and extent of interest in real property.","Must be possessory."
"Fee Simple Absolute","","Highest form of ownership.","Ownership 'forever'."
"Fee Simple Defeasible","","Ownership that can be lost if a condition is met/broken.","Includes Determinable and Condition Subsequent."
"Fee Simple Determinable","","Ownership 'so long as' or 'while' a condition is met.","Automatically reverts if violated."
"Freehold Estate","","Ownership for an indeterminate length of time.","Contrast with leasehold."
"Future Interest","","Right to possession in the future.","Remainder or Reversion."
"Homestead","","Protection of the family home from certain debts.","Legal life estate."
"Inverse Condemnation","","Action brought by owner to force government to buy property.","Used when gov action devalues land."
"Legal Life Estate","","Life estate created by state law.","Dower, Curtesy, Homestead."
"License","","Revocable permission for a temporary use.","Not an interest in land."
"Lien","","A financial charge against property.","Security for a debt."
"Life Estate","","Interest limited to the duration of a life.","Can be 'pur autre vie'."
"Life Tenant","","The person holding the life estate.","Can sell their interest, but it ends when they die."
"Littoral Rights","","Rights to non-flowing water (lakes/oceans).","Ownership to the high-water mark."
"Police Power","","Power to enact legislation for public safety.","Zoning and building codes."
"Pur Autre Vie","","'For the life of another'.","Based on a third party's lifespan."
"Remainder Interest","","Future interest that goes to a third party.","Remainderman."
