Question,Options,Answer,Explanation
"1. The system of legal description that defines a parcel of land by its perimeter is the:","a. geodetic survey.\nb. rectangular survey.\nc. lot and block system.\nd. metes and bounds system.","d. metes and bounds system.","Metes and bounds 'trace' the perimeter of the property."
"2. A metes-and-bounds legal description must:","a. cover an area larger than 10 acres.\nb. be used only in the original 13 colonies.\nc. commence and finish at the same identifiable point.\nd. always use north as the basis for directions.","c. commence and finish at the same identifiable point.","The POB (Point of Beginning) is also the Point of Ending."
"3. The primary survey line running north and south in any area described by the rectangular survey system is its:","a. township line.\nb. base line.\nc. range line.\nd. principal meridian.","d. principal meridian.","North-south lines are Meridians; East-west lines are Base Lines."
"4. A standard rectangular survey system 'Section' contains:","a. 36 townships.\nb. 160 government lots.\nc. 160 acres.\nd. 640 acres.","d. 640 acres.","One section is one square mile, which equals 640 acres."
"5. A township contains:","a. six square miles.\nb. 640 acres.\nc. 23,040 square feet.\nd. 36 sections.","d. 36 sections.","A township is 6 miles by 6 miles (36 square miles) containing 36 sections."
"6. The method of describing land that uses degrees, feet, and monuments is known as the:","a. angular system.\nb. metes-and-bounds system.\nc. rectangular-survey system.\nd. lot-and-block system.","b. metes-and-bounds system.","Monuments (fixed objects) are markers in metes and bounds."
"7. How many acres are in a parcel described as 'the NW 1/4 of the SE 1/4 and the S 1/2 of the SW 1/4 of the NE 1/4 of Section 4'?","a. 40 acres\nb. 50 acres\nc. 60 acres\nd. 80 acres.","c. 60 acres.","NW 1/4 of SE 1/4 = 40 acres. S 1/2 of SW 1/4 of NE 1/4 = 20 acres. 40 + 20 = 60."
"8. In the rectangular survey system, a section is further divided into:","a. townships.\nb. ranges.\nc. quarters.\nd. monuments.","c. quarters.","Sections are typically divided into halves and quarters."
"9. A recorded subdivision plat is used in the:","a. geodetic survey system.\nb. rectangular survey system.\nc. lot and block system.\nd. metes and bounds system.","c. lot and block system.","Commonly used for residential subdivisions."
"10. A point, line, or surface from which elevations are measured is a:","a. monument.\nb. benchmark.\nc. datum.\nd. section.","c. datum.","A datum is the reference point for heights and depths (air/subsurface rights)."
"11. To determine the number of acres in a rectangular survey description, you divide 640 by:","a. the number of sections.\nb. the denominator of each fraction.\nc. the principal meridian.\nd. the range number.","b. the denominator of each fraction.","Example: 1/4 of 1/4 = 640 / 4 / 4 = 40 acres."
"12. The survey that provides the location, size, and shape of buildings on a lot is a:","a. plat map.\nb. spot survey.\nc. geodetic survey.\nd. range survey.","b. spot survey.","Spot surveys show where improvements (buildings) sit on the land."
"13. Which of the following is most likely to be used in urban residential areas?","a. Metes and bounds\nb. Rectangular survey\nc. Lot and block\nd. Sectional survey","c. Lot and block.","Urban areas are subdivided into numbered lots and blocks."
"14. A township line runs:","a. North and South.\nb. East and West.\nc. Diagonally.\nb. Parallel to the meridian.","b. East and West.","Township lines run east-west; Range lines run north-south."
"15. Section 16 in a township is traditionally reserved for:","a. the post office.\nb. the church.\nc. public schools.\nd. the town hall.","c. public schools.","Section 16 is the 'school section'."
"16. Which of the following is NOT a valid legal description?","a. Metes and bounds\nb. Lot and block\nc. Street address\nd. Rectangular survey","c. Street address.","Street addresses are 'informal' and not legally binding for deeds."
"17. The starting point in a metes-and-bounds description is the:","a. principal meridian.\nb. POB.\nc. datum.\nd. benchmark.","b. POB.","POB = Point of Beginning."
"18. A township square is:","a. 1 mile square.\nb. 6 miles square.\nc. 36 miles square.\nd. 640 acres.","b. 6 miles square.","A '6-mile square' is 36 square miles."
"19. Permanent reference markers, such as an iron pin or brass plate, are:","a. benchmarks.\nb. monuments.\nc. sections.\nd. base lines.","a. benchmarks.","Benchmarks are permanent reference points for surveyors."
"20. Air lots are measured using:","a. acres.\nb. square feet.\nc. datums.\nd. sections.","c. datums.","Height is measured from a specific datum."
"Air Lots","","Specific spaces above the land.","Measured using a datum."
"Base Line","","Primary east-west line in rectangular survey.","Intersects with principal meridian."
"Benchmark","","Permanent reference point for surveyors.","Often brass markers set in concrete."
"Correction Lines","","Used to compensate for the curvature of the earth.","Occur every 4th township line (24 miles)."
"Datum","","The reference point for measuring elevation.","Used for air and subsurface rights."
"Fractional Sections","","Sections undersized or oversized due to earth's curvature.","Usually on the north or west side of a township."
"Government Check","","A 24-mile square area.","Contains 16 townships."
"Government Lots","","Fractional sections near lakes or rivers.","Numbered specifically by the government."
"Legal Description","","A precise method of identifying a parcel of land.","Must be accepted in court."
"Lot-and-Block System","","System using subdivision plat maps.","Used in urban/suburban areas."
"Metes-and-Bounds System","","Description using distances (metes) and directions (bounds).","Starts and ends at the POB."
"Monuments","","Fixed objects used to establish boundaries.","Can be natural (trees) or artificial (posts)."
"Plat Map","","A map showing the layout of a subdivision.","Recorded in public records."
"Point of Beginning (POB)","","The starting point of a metes and bounds survey.","Also the point of ending."
"Principal Meridian","","Primary north-south line in rectangular survey.","Specific to a geographic area."
"Range","","A 6-mile wide strip of land running North-South.","Parallel to the principal meridian."
"Rectangular Survey System","","System using townships and sections.","Also called Government Survey System."
"Section","","A 1-mile square (640 acres).","36 of these make a township."
"Survey","","The process of measuring and mapping land.","Requires a professional license."
"Township","","A 6-mile by 6-mile square area.","Contains 23,040 acres."
"Township Lines","","Lines running East-West at 6-mile intervals.","Parallel to the base line."
"Township Tiers","","The horizontal rows of townships.","Numbered north or south of the base line."
