Question,Options,Answer,Explanation
"1. Real estate generally includes all the following EXCEPT:","a. trees.\nb. air rights.\nc. annual crops.\nd. mineral rights.","c. annual crops.","Annual crops (emblements) are personal property."
"2. A woman rents space in a commercial building for a bookstore... Which BEST characterizes the contents?","a. The shelves and tables are trade fixtures and will transfer when the owner sells.\nb. The shelves and tables are trade fixtures and may properly be removed by the woman before her lease expires.\nc. Because the woman is a tenant, the shelves and tables are fixtures and may not be removed.\nd. Because the shelves and tables are attached, they are treated the same as other fixtures.","b. The shelves and tables are trade fixtures and may properly be removed...","Trade fixtures belong to the tenant and are removable."
"3. The term nonhomogeneity refers to:","a. scarcity.\nb. immobility.\nc. uniqueness.\nd. indestructibility.","c. uniqueness.","No two parcels of land are exactly the same."
"4. Another term for personal property is:","a. realty.\nb. fixtures.\nc. chattels.\nd. fructus naturales.","c. chattels.","Chattel = Personal Property."
"5. A property owner wants to use water from a river... state relies on which rule of law?","a. Riparian rights\nb. Littoral rights\nc. Doctrine of prior appropriation\nd. Doctrine of highest and best use","c. Doctrine of prior appropriation","Water use is controlled by the state via permits."
"6. A man inherited vacant land, removed topsoil, and died. Which is TRUE?","a. Daughter inherits nothing.\nb. Daughter inherits the property as is.\nc. Daughter owns the topsoil wherever it is.\nd. Estate must restore property.","b. The daughter inherits the property as is.","She inherits the remaining interests in the land."
"7. A court would NOT consider which of the following for fixture status?","a. The cost of the item\nb. Removal damage\nc. Adaptation to real estate\nd. Agreement of parties","a. The cost of the item when it was purchased","Cost is not part of the MARIA fixture test."
"8. Which is a physical characteristic of land?","a. Indestructibility\nb. Improvements\nc. Area preference\nd. Scarcity","a. Indestructibility","Physical traits: Immobility, Indestructibility, Uniqueness."
"9. Act by which real property can be converted into personal property:","a. Severance\nb. Accession\nc. Conversion\nd. Attachment","a. Severance","Severance involves detaching an item (e.g., cutting a tree)."
"10. Seller took a ceiling fan not addressed in the contract. Which is TRUE?","a. Ceiling fans are usually considered real estate.\nb. The fan belongs to the seller.\nc. Fans are trade fixtures.\nd. Fans are personal property.","a. Ceiling fans are usually considered real estate.","Fixtures stay with the real property."
"11. Buyer sold mineral rights to an oil company. Buyer gave up:","a. Air rights\nb. Surface rights\nc. Subsurface rights\nd. Occupancy rights","c. Subsurface rights","Mineral rights are beneath the surface."
"12. Lumber in the driveway for building a porch is:","a. real property.\nb. personal property.\nc. a chattel that is real property.\nd. a trade fixture.","b. personal property.","Unattached building materials are personal property."
"13. Annexation, adaptation, and agreement are legal tests for:","a. trade fixtures.\nb. real estate.\nc. a fixture or personal property.\nd. an improvement.","c. a fixture or personal property.","The MARIA test determines fixture status."
"14. Parking spaces and water rights are classified as:","a. covenants.\nb. emblements.\nc. chattels.\nd. appurtenances.","d. appurtenances.","Appurtenances run with the land."
"15. A company builds tin shacks for turpentine storage. Which is TRUE?","a. Action constitutes improvement.\nb. Chemicals are appurtenances.\nc. Shacks are trade fixtures.\nd. Use not in bundle of rights.","a. The company's action constitutes improvement...","Artificial attachments are improvements."
"16. Land located along the banks of a river. Water rights are:","a. littoral rights.\nb. prior appropriation rights.\nc. riparian rights.\nd. hereditaments.","c. riparian rights.","Riparian = Flowing water (Rivers)."
"17. Bundle of rights entitles owner to all EXCEPT:","a. sell property.\nb. exclude utility meter readers.\nc. erect No Trespassing signs.\nd. enjoy profits.","b. exclude utility meter readers.","Utility companies have access via easements."
"18. According to law, a trade fixture is usually treated as:","a. a fixture.\nb. an easement.\nc. personalty.\nd. a license.","c. personalty.","Personalty is another term for personal property."
"19. House is located in a busy area. Concern is called:","a. physical deterioration.\nb. area preference.\nc. permanence.\nd. immobility.","b. area preference.","Situs (location preference)."
"20. Which of the following is considered personal property?","a. Fireplace\nb. Awnings\nb. Bathtub\nd. Patio furniture","d. Patio furniture","Patio furniture is movable (chattel)."
"Accession","","Acquiring title via annexation or accretion.","Way to gain property through adding to it."
"Accretion","","Increase in land by soil deposit.","The natural adding of land via water."
"Air Rights","","Right to use space above earth.","Can be leased or sold separately."
"Annexation","","Converting personal property to real property.","Example: Cement becoming a sidewalk."
"Appurtenance","","A right/privilege running with the land.","Example: Parking spots or water rights."
"Area Preference (Situs)","","Location based on social/economic factors.","Most important economic characteristic."
"Avulsion","","Sudden removal of soil by nature.","Like a flood or landslide."
"Bundle of Legal Rights","","PCEED rights.","Possession, Control, Enjoyment, Exclusion, Disposition."
"Chattel","","Movable personal property.","Another name for personalty."
"Emblements","","Annual crops (Personal Property).","Also known as fructus industriales."
"Erosion","","Gradual wearing away of land.","Slow natural loss of soil."
"Fixture","","Attached personal property becoming real estate.","Uses the MARIA legal test."
"Improvement","","Artificial attachment to land.","Buildings, fences, utilities."
"Land","","Surface, subsurface, and air.","The earth to the center and up to infinity."
"Littoral Rights","","Rights along non-flowing water.","Lakes, oceans, seas."
"Manufactured Housing","","Built off-site.","Personal property until permanently affixed."
"Nonhomogeneity","","Uniqueness of land.","Physical characteristic of land."
"Personal Property","","Movable items (Chattels).","Everything not real property."
"Prior Appropriation","","State-controlled water rights.","Permit-based water law."
"Real Estate","","Land + Human-made improvements.","The physical property."
"Real Property","","Real Estate + Bundle of Rights.","The legal property definition."
"Riparian Rights","","Rights along flowing water.","Rivers and streams."
"Severance","","Converting real property to personal property.","Example: Cutting down a tree."
"Subsurface Rights","","Rights below the surface.","Minerals, oil, and gas."
"Surface Rights","","Rights limited to the surface.","Owner only owns the top layer."
"Trade Fixture","","Tenant business equipment.","Removable by tenant before lease ends."
"Water Rights","","Rights to use water on/next to land.","Riparian vs. Littoral."
"MARIA","","Fixture Test elements.","Method, Adaptability, Relationship, Intention, Agreement."
