Question,Options,Answer,Explanation
"1. Which of the following is considered a 'physical' characteristic of land?","a. Scarcity\nb. Indestructibility\nc. Area preference\nd. Permanence of investment","b. Indestructibility","Land has three physical characteristics: Immobility, Indestructibility, and Uniqueness."
"2. A real estate professional who performs a visual survey of a property's structure and systems is a(n):","a. educator.\nb. home inspector.\nc. appraiser.\nd. property manager.","b. home inspector.","Home inspectors provide professional visual surveys for buyers."
"3. When the supply of a commodity decreases while demand remains the same, prices tend to:","a. drop.\nb. stay the same.\nc. rise.\nd. fluctuate.","c. rise.","Lower supply with steady demand creates competition, driving prices up."
"4. Which factor primarily affects the 'supply' side of the real estate market?","a. Population\nb. Demographics\nc. Labor force availability\nd. Wage levels","c. Labor force availability","Labor, construction costs, and government controls affect supply."
"5. All of the following are categories of real property EXCEPT:","a. Residential\nb. Developmental\nc. Industrial\nd. Agricultural","b. Developmental","The 5 main categories are Residential, Commercial, Industrial, Agricultural, and Special Purpose."
"6. A person who helps clients choose among various alternatives involved in purchasing or using real property is a:","a. counselor.\nb. broker.\nc. manager.\nd. appraiser.","a. counselor.","Counselors provide advice to help clients make informed decisions."
"7. The point at which supply and demand are balanced is known as:","a. highest and best use.\nb. equilibrium.\nc. stagnation.\nd. inflation.","b. equilibrium.","Equilibrium is the theoretical point where supply equals demand."
"8. Which organization is the largest for real estate professionals?","a. NAREB\nb. NAR\nc. ABA\nd. HUD","b. NAR","The National Association of REALTORS® is the largest professional group."
"9. A property that is part of a 'Special Purpose' category would be:","a. a warehouse.\nb. a shopping mall.\nc. a church or school.\nd. an apartment building.","c. a church or school.","Special purpose properties include schools, churches, and government buildings."
"10. High-rise buildings that combine office space, stores, and residential units are called:","a. PUDs.\nb. converted-use properties.\nc. mixed-use developments.\nd. cooperatives.","c. mixed-use developments.","Mixed-use (MUD) combines different zoning uses in one structure."
